"","treat","flume","sample","C12.0","C13.0","C14.0","C15.0","C16.0","C17.0","C18.0","C20.0","C21.0","C22.0","C23.0","C24.0","C14.1","C15.1","C16.1","C17.1","C18.1","C20.1","C22.1","C24.1","C18.2","C18.3_GLA","C18.3_ALA","C20.2","C20.3a","C20.3b","C20.4_ARA","C20.5_EPA","C22.2","C22.6_DHA"
"1","ALAN+Crayfish","1","RSM_sp1",0.049309793,-0.008768183,0.407639507,0.15855075,3.000820232,0.255728089,1.485569733,0.037797728,0.000255537,0.007707682,0,-0.442492363,-0.07626728,-0.015240396,1.627630655,0,2.516507926,0.147971945,-0.00416237,-0.011433127,3.835514963,0,0.566453336,0.004446793,0.018051164,0.000507185,-0.021438276,1.341581987,-0.004923453,0.004368937
"2","Crayfish","2","RSM_sp2",0.137483193,0.00823842,0.529362268,0.121322599,2.62487875,0.254732501,0,0.0447862,0,0.005387698,0,-0.346727187,-0.060982309,-0.003206289,1.004506015,0,2.215630272,0.129778121,-0.001606606,-0.005717089,3.647882326,0.001147303,0.551714362,0.007892992,0,0.000160306,0.110496599,2.077455003,-0.003474902,0.007750193
"3","ALAN","3","RSM_sp3",0.45450099,0.0902851,1.640969611,0.389560704,7.676638337,0.610604378,6.334350551,0.15413345,0.008658279,0.059134283,0.011552421,-0.255767522,-0.043769973,0.019995075,4.621369035,0,6.78305571,0.633846373,0.02589924,0.006153301,10.20566426,0.379439403,2.188551148,0.061937312,0.070334615,0.057949953,3.253612805,5.502369506,-0.003334964,0.028913737
"4","Control","4","RSM_sp4",0.667568647,0.067421463,1.687379146,0.271084295,6.27476206,0.350722896,3.432544666,0.098084033,0.00328853,0.061079762,0.003095491,-0.27423679,0.056210627,0.014056478,3.779128792,0,3.832223258,0.191797266,0.016036269,-0.001427983,4.714438312,0.20674614,2.192329803,0.022319539,0.194251145,0.020504301,0.657989672,3.40309529,-0.001651359,0.019468848
"5","Crayfish","5","RSM_sp5",0.443968047,0.038525411,0.814580062,0.12794948,4.262427779,0.286688975,2.663100512,0.052976624,0,0.016177817,0.00095215,-0.263016902,0.018533469,0.004480582,1.332520312,0.018114472,3.266861022,0.110940952,0.005766061,-0.004219037,3.876969828,0.092731327,1.596865725,0.014715701,0.110855583,0.009181637,0.121569962,2.102975173,-0.001803342,0.003819854
"6","ALAN","6","RSM_sp6",1.175724,0.529433498,3.902906673,1.049074472,10.63156167,1.08785334,7.552066345,0.189698314,0.009642962,0.06766369,0,-0.26549765,0.039980307,-0.009626823,4.013376078,0.208339435,8.021145512,0.293125154,0.050851067,0.004541933,10.63102107,0.08294583,1.688379327,0.041608999,0.022128146,0.01085404,1.050594084,4.530916675,0.022669739,0.022411931
"7","Control","7","RSM_sp7",0.065026322,0.010746652,0.114457151,0.056818992,0.726090547,0.088350903,0.669096561,0.026277837,0.005274189,-0.000350952,0,-0.554412231,-0.025958174,0.000228375,0.171942648,0.014082369,1.167556909,0.059867822,-0.007205501,-0.014359779,1.794363666,0.009989589,0.201039916,0.00182527,0,0.001381461,-0.45122787,0.935568288,-0.005139603,0.002006927
"8","ALAN+Crayfish","8","RSM_sp8",0.721184665,0.111970793,2.15616947,0.411443749,9.177019889,0.54557835,3.918864937,0.090119153,0.004747154,0.0546254,0.008739938,-0.262735323,0.070281598,0.005472688,3.584592222,0.118651387,3.592123354,0.290821938,0.028911009,0.000268058,6.583019259,0.082726863,1.947174941,0.02194384,0.076773034,0.012351231,1.180634945,4.258325903,-0.003242274,0.019417625
"9","ALAN","9","RSM_sp9",0.255286065,0.059878027,0.929312429,0.272155318,3.98603777,0.312116651,1.75998003,0.046532346,0,0.006569931,0,-0.345555258,-0.032486907,-0.002503393,1.858718316,0.067870263,1.742707504,0.122709267,0.002712118,-0.00778266,3.449306888,0.035408263,0.669112733,0.010555986,0.020346878,0.002485991,0.552214156,1.837197391,-0.00389117,0.000518307
"10","Control","10","RSM_sp10",1.118157662,0.179000665,4.941990955,0.597237499,8.86529667,0.372799654,2.893117873,0.054363674,0.001429487,0.033062593,0.00590503,-0.341292749,0.094975318,-0.008978122,3.268363726,0,4.624351154,0.14092527,0.012354155,-0.009681584,5.619065418,0.068568613,1.39893371,0.022987373,0.090578097,0.024012,0.459947964,2.502449979,0.00320551,0.01472365
